id,name,image_url,price,saleprice,url,category,type
8514449-3,"Unique Gifts for Mother , Giftsmate Awesome Mom Latte Coffee Mug for Mother with Coaster, Gifts for Mother , Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/41AFjWyhbqL._SL160_.jpg,1349,699,http://www.amazon.in/dp/B00VTOTY3U/ref=asc_df_B00VTOTY3U38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOTY3U&linkCode=df0,Tableware,gift
6214621-3,Giftsmate Birthday Gifts for Mother.,http://ecx.images-amazon.com/images/I/41RJSWwaunL._SX425_.jpg,399,399,http://www.amazon.in/dp/B00VTOU9TI/ref=asc_df_B00VTOU9TI38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOU9TI&linkCode=df0,Tableware,gift
7223418-3,"Unique Gifts for Mother , Giftsmate Love You Mom Polka Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/51ago6l7wHL._SL160_.jpg,725,349,http://www.amazon.in/dp/B00VTOUN08/ref=asc_df_B00VTOUN0838843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOUN08&linkCode=df0,Tableware,gift
5202649-3,"Unique Gifts for Mother, Giftsmate No. 1 Mum Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41tTcKpGQeL._SX425_.jpg,625,299,http://www.amazon.in/dp/B00CKP7QS2/ref=asc_df_B00CKP7QS238843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00CKP7QS2&linkCode=df0,Tableware,gift
7223669-3,"Unique Gifts for Mother, Giftsmate This Girl is Going to be a Mommy Latte Mug for Mom Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for New Mom",http://ecx.images-amazon.com/images/I/41memn204IL._SX425_.jpg,1349,649,http://www.amazon.in/dp/B00VTOU5LU/ref=asc_df_B00VTOU5LU38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOU5LU&linkCode=df0,Tableware,gift
7222952-3,"Unique Gifts for Mother, Giftsmate Mom is Wow Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/41feBdfnM2L._SL160_.jpg,1349,699,http://www.amazon.in/dp/B00VUV7E2K/ref=asc_df_B00VUV7E2K38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VUV7E2K&linkCode=df0,Tableware,gift
8514307-3,"Unique Gifts for Mother, Giftsmate Queen Mom Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/4128NVPitYL._SL160_.jpg,1349,649,http://www.amazon.in/dp/B00VTOTXKE/ref=asc_df_B00VTOTXKE38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOTXKE&linkCode=df0,Tableware,gift
8514446-3,"Unique Gifts for Mother, Giftsmate Mom and Daughter Forever Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41jiK%2BdlXaL._SX425_.jpg,1349,649,http://www.amazon.in/dp/B00VTOUSBW/ref=asc_df_B00VTOUSBW38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOUSBW&linkCode=df0,Tableware,gift
8514288-3,"Unique Gifts for Mother , Giftsmate Funny Thanks Mom Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/41zc16i71PL._SL160_.jpg,1349,649,http://www.amazon.in/dp/B00VTOUEK2/ref=asc_df_B00VTOUEK238843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOUEK2&linkCode=df0,Tableware,gift
8514338-3,"Unique Gifts for Mother, Giftsmate 5 Star Mom Latte Coffee Mug for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41fVbJRLlbL._SX425_.jpg,1349,699,http://www.amazon.in/dp/B00VTOTSUY/ref=asc_df_B00VTOTSUY38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOTSUY&linkCode=df0,Tableware,gift
8513219-3,"Unique Gifts for Mother, Giftsmate Celebrity Mom Coffee Mug Gift set for Mother with Coaster, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41PMGFHatdL._SX425_.jpg,699,349,http://www.amazon.in/dp/B00CKP8A28/ref=asc_df_B00CKP8A2838843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00CKP8A28&linkCode=df0,Tableware,gift
7223265-3,"Giftsmate Special Mummy Latte Coffee Mug for Mother with Coaster, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41KwvUYypiL._SX425_.jpg,1349,649,http://www.amazon.in/dp/B00VTOU1VY/ref=asc_df_B00VTOU1VY38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOU1VY&linkCode=df0,Tableware,gift
8513204-3,"Unique Gifts for Mother, Giftsmate Best Mom Ever Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/51q8cOSm5rL._SX425_.jpg,625,349,http://www.amazon.in/dp/B00CKP7SFI/ref=asc_df_B00CKP7SFI38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00CKP7SFI&linkCode=df0,Tableware,gift
6213926-3,"Unique Gifts for Mother, Giftsmate Love You Mom Retro Coffee Mug Gift set for Mother with Coaster,Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/518Yfp1BVpL._SX425_.jpg,725,349,http://www.amazon.in/dp/B00VUV3M12/ref=asc_df_B00VUV3M1238843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VUV3M12&linkCode=df0,Tableware,gift
8514402-3,"Unique Gifts for Mother, Giftsmate I Love Mom Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41389MXSUXL._SX425_.jpg,725,349,http://www.amazon.in/dp/B00VTOUP24/ref=asc_df_B00VTOUP2438843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VTOUP24&linkCode=df0,Tableware,gift
8514418-3,"Unique Gifts for Mother , Giftsmate Mom's Special Day Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",https://images-eu.ssl-images-amazon.com/images/I/41CtwyIOHNL._SL160_.jpg,725,349,http://www.amazon.in/dp/B00VUV3WS0/ref=asc_df_B00VUV3WS038843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00VUV3WS0&linkCode=df0,Tableware,gift
